SEQ_000801|label=1	SEQ_000801|label=1
SEQ_000802|label=0	SEQ_000802|label=0
SEQ_000803|label=1	SEQ_000803|label=1
SEQ_000804|label=1	SEQ_000804|label=1
SEQ_000805|label=0	SEQ_000805|label=0
SEQ_000806|label=1	SEQ_000806|label=1
SEQ_000807|label=1	SEQ_000807|label=1
SEQ_000808|label=1	SEQ_000808|label=1
SEQ_000809|label=0	SEQ_000809|label=0
SEQ_000810|label=0	SEQ_000810|label=0
SEQ_000811|label=0	SEQ_000811|label=0
SEQ_000812|label=0	SEQ_000812|label=0
SEQ_000813|label=1	SEQ_000813|label=1
SEQ_000814|label=0	SEQ_000814|label=0
SEQ_000815|label=0	SEQ_000815|label=0
SEQ_000816|label=1	SEQ_000816|label=1
SEQ_000817|label=0	SEQ_000817|label=0
SEQ_000818|label=0	SEQ_000818|label=0
SEQ_000819|label=1	SEQ_000819|label=1
SEQ_000820|label=0	SEQ_000820|label=0
SEQ_000821|label=1	SEQ_000821|label=1
SEQ_000822|label=1	SEQ_000822|label=1
SEQ_000823|label=1	SEQ_000823|label=1
SEQ_000824|label=0	SEQ_000824|label=0
SEQ_000825|label=0	SEQ_000825|label=0
SEQ_000826|label=0	SEQ_000826|label=0
SEQ_000827|label=0	SEQ_000827|label=0
SEQ_000828|label=0	SEQ_000828|label=0
SEQ_000829|label=0	SEQ_000829|label=0
SEQ_000830|label=0	SEQ_000830|label=0
SEQ_000831|label=0	SEQ_000831|label=0
SEQ_000832|label=1	SEQ_000832|label=1
SEQ_000833|label=0	SEQ_000833|label=0
SEQ_000834|label=1	SEQ_000834|label=1
SEQ_000835|label=1	SEQ_000835|label=1
SEQ_000836|label=0	SEQ_000836|label=0
SEQ_000837|label=1	SEQ_000837|label=1
SEQ_000838|label=1	SEQ_000838|label=1
SEQ_000839|label=0	SEQ_000839|label=0
SEQ_000840|label=1	SEQ_000840|label=1
SEQ_000841|label=0	SEQ_000841|label=0
SEQ_000842|label=0	SEQ_000842|label=0
SEQ_000843|label=0	SEQ_000843|label=0
SEQ_000844|label=0	SEQ_000844|label=0
SEQ_000845|label=0	SEQ_000845|label=0
SEQ_000846|label=0	SEQ_000846|label=0
SEQ_000847|label=1	SEQ_000847|label=1
SEQ_000848|label=0	SEQ_000848|label=0
SEQ_000849|label=0	SEQ_000849|label=0
SEQ_000850|label=0	SEQ_000850|label=0
SEQ_000851|label=1	SEQ_000851|label=1
SEQ_000852|label=1	SEQ_000852|label=1
SEQ_000853|label=1	SEQ_000853|label=1
SEQ_000854|label=1	SEQ_000854|label=1
SEQ_000855|label=0	SEQ_000855|label=0
SEQ_000856|label=1	SEQ_000856|label=1
SEQ_000857|label=1	SEQ_000857|label=1
SEQ_000858|label=1	SEQ_000858|label=1
SEQ_000859|label=0	SEQ_000859|label=0
SEQ_000860|label=1	SEQ_000860|label=1
SEQ_000861|label=1	SEQ_000861|label=1
SEQ_000862|label=0	SEQ_000862|label=0
SEQ_000863|label=0	SEQ_000863|label=0
SEQ_000864|label=0	SEQ_000864|label=0
SEQ_000865|label=1	SEQ_000865|label=1
SEQ_000866|label=0	SEQ_000866|label=0
SEQ_000867|label=0	SEQ_000867|label=0
SEQ_000868|label=1	SEQ_000868|label=1
SEQ_000869|label=0	SEQ_000869|label=0
SEQ_000870|label=0	SEQ_000870|label=0
SEQ_000871|label=1	SEQ_000871|label=1
SEQ_000872|label=0	SEQ_000872|label=0
SEQ_000873|label=0	SEQ_000873|label=0
SEQ_000874|label=1	SEQ_000874|label=1
SEQ_000875|label=1	SEQ_000875|label=1
SEQ_000876|label=0	SEQ_000876|label=0
SEQ_000877|label=0	SEQ_000877|label=0
SEQ_000878|label=0	SEQ_000878|label=0
SEQ_000879|label=0	SEQ_000879|label=0
SEQ_000880|label=0	SEQ_000880|label=0
SEQ_000881|label=1	SEQ_000881|label=1
SEQ_000882|label=1	SEQ_000882|label=1
SEQ_000883|label=1	SEQ_000883|label=1
SEQ_000884|label=0	SEQ_000884|label=0
SEQ_000885|label=0	SEQ_000885|label=0
SEQ_000886|label=1	SEQ_000886|label=1
SEQ_000887|label=0	SEQ_000887|label=0
SEQ_000888|label=1	SEQ_000888|label=1
SEQ_000889|label=0	SEQ_000889|label=0
SEQ_000890|label=1	SEQ_000890|label=1
SEQ_000891|label=1	SEQ_000891|label=1
SEQ_000892|label=0	SEQ_000892|label=0
SEQ_000893|label=0	SEQ_000893|label=0
SEQ_000894|label=0	SEQ_000894|label=0
SEQ_000895|label=1	SEQ_000895|label=1
SEQ_000896|label=1	SEQ_000896|label=1
SEQ_000897|label=0	SEQ_000897|label=0
SEQ_000898|label=1	SEQ_000898|label=1
SEQ_000899|label=1	SEQ_000899|label=1
SEQ_000900|label=1	SEQ_000900|label=1
SEQ_001701|label=0	SEQ_001701|label=0
SEQ_001702|label=0	SEQ_001702|label=0
SEQ_001703|label=1	SEQ_001703|label=1
SEQ_001704|label=0	SEQ_001704|label=0
SEQ_001705|label=1	SEQ_001705|label=1
SEQ_001706|label=0	SEQ_001706|label=0
SEQ_001707|label=1	SEQ_001707|label=1
SEQ_001708|label=0	SEQ_001708|label=0
SEQ_001709|label=1	SEQ_001709|label=1
SEQ_001710|label=1	SEQ_001710|label=1
SEQ_001711|label=1	SEQ_001711|label=1
SEQ_001712|label=0	SEQ_001712|label=0
SEQ_001713|label=0	SEQ_001713|label=0
SEQ_001714|label=0	SEQ_001714|label=0
SEQ_001715|label=1	SEQ_001715|label=1
SEQ_001716|label=1	SEQ_001716|label=1
SEQ_001717|label=1	SEQ_001717|label=1
SEQ_001718|label=1	SEQ_001718|label=1
SEQ_001719|label=0	SEQ_001719|label=0
SEQ_001720|label=1	SEQ_001720|label=1
SEQ_001721|label=1	SEQ_001721|label=1
SEQ_001722|label=0	SEQ_001722|label=0
SEQ_001723|label=0	SEQ_001723|label=0
SEQ_001724|label=1	SEQ_001724|label=1
SEQ_001725|label=1	SEQ_001725|label=1
SEQ_001726|label=1	SEQ_001726|label=1
SEQ_001727|label=1	SEQ_001727|label=1
SEQ_001728|label=1	SEQ_001728|label=1
SEQ_001729|label=1	SEQ_001729|label=1
SEQ_001730|label=0	SEQ_001730|label=0
SEQ_001731|label=0	SEQ_001731|label=0
SEQ_001732|label=1	SEQ_001732|label=1
SEQ_001733|label=0	SEQ_001733|label=0
SEQ_001734|label=0	SEQ_001734|label=0
SEQ_001735|label=1	SEQ_001735|label=1
SEQ_001736|label=1	SEQ_001736|label=1
SEQ_001737|label=1	SEQ_001737|label=1
SEQ_001738|label=0	SEQ_001738|label=0
SEQ_001739|label=1	SEQ_001739|label=1
SEQ_001740|label=0	SEQ_001740|label=0
SEQ_001741|label=1	SEQ_001741|label=1
SEQ_001742|label=0	SEQ_001742|label=0
SEQ_001743|label=1	SEQ_001743|label=1
SEQ_001744|label=1	SEQ_001744|label=1
SEQ_001745|label=1	SEQ_001745|label=1
SEQ_001746|label=0	SEQ_001746|label=0
SEQ_001747|label=1	SEQ_001747|label=1
SEQ_001748|label=1	SEQ_001748|label=1
SEQ_001749|label=1	SEQ_001749|label=1
SEQ_001750|label=1	SEQ_001750|label=1
SEQ_001751|label=1	SEQ_001751|label=1
SEQ_001752|label=1	SEQ_001752|label=1
SEQ_001753|label=0	SEQ_001753|label=0
SEQ_001754|label=1	SEQ_001754|label=1
SEQ_001755|label=1	SEQ_001755|label=1
